id,make,model,badge,transmission_type,fuel_type,drive_type,all_params,match_score
5158834049908736,Volkswagen,Amarok,TDI580 Highline Black,Automatic,Diesel,Four Wheel Drive,Volkswagen Amarok TDI580 Highline Black Automatic Diesel Four Wheel Drive,0
4951649860714496,Volkswagen,Amarok,TDI580 Ultimate,Automatic,Diesel,Four Wheel Drive,Volkswagen Amarok TDI580 Ultimate Automatic Diesel Four Wheel Drive,0
4749339721203712,Volkswagen,Golf,110TSI Comfortline,Automatic,Petrol,Front Wheel Drive,Volkswagen Golf 110TSI Comfortline Automatic Petrol Front Wheel Drive,0
4980237163036672,Volkswagen,Golf,110TSI Highline,Automatic,Petrol,Front Wheel Drive,Volkswagen Golf 110TSI Highline Automatic Petrol Front Wheel Drive,0
4890077209559040,Volkswagen,Golf,110TSI Trendline,Automatic,Petrol,Front Wheel Drive,Volkswagen Golf 110TSI Trendline Automatic Petrol Front Wheel Drive,0
4909868418859008,Volkswagen,Golf,110TSI Trendline,Manual,Petrol,Front Wheel Drive,Volkswagen Golf 110TSI Trendline Manual Petrol Front Wheel Drive,0
5734502139691008,Volkswagen,Golf,Alltrack 132TSI,Automatic,Petrol,Four Wheel Drive,Volkswagen Golf Alltrack 132TSI Automatic Petrol Four Wheel Drive,0
4608602232848384,Volkswagen,Golf,Alltrack 132TSI Premium,Automatic,Petrol,Four Wheel Drive,Volkswagen Golf Alltrack 132TSI Premium Automatic Petrol Four Wheel Drive,0
4628393442148352,Volkswagen,Golf,GTI,Automatic,Petrol,Front Wheel Drive,Volkswagen Golf GTI Automatic Petrol Front Wheel Drive,0
5824662093168640,Volkswagen,Golf,R,Automatic,Petrol,Four Wheel Drive,Volkswagen Golf R Automatic Petrol Four Wheel Drive,0
5803147863785472,Volkswagen,Tiguan,110TSI Comfortline,Automatic,Petrol,Front Wheel Drive,Volkswagen Tiguan 110TSI Comfortline Automatic Petrol Front Wheel Drive,0
5050605907214336,Volkswagen,Tiguan,110TSI Comfortline Allspace,Automatic,Petrol,Front Wheel Drive,Volkswagen Tiguan 110TSI Comfortline Allspace Automatic Petrol Front Wheel Drive,0
4514044232859648,Volkswagen,Tiguan,110TSI Trendline,Automatic,Petrol,Front Wheel Drive,Volkswagen Tiguan 110TSI Trendline Automatic Petrol Front Wheel Drive,0
5382658418802688,Volkswagen,Tiguan,132TSI Comfortline,Automatic,Petrol,Four Wheel Drive,Volkswagen Tiguan 132TSI Comfortline Automatic Petrol Four Wheel Drive,0
4819708465381376,Volkswagen,Tiguan,132TSI Comfortline Allspace,Automatic,Petrol,Four Wheel Drive,Volkswagen Tiguan 132TSI Comfortline Allspace Automatic Petrol Four Wheel Drive,0
5811435875598336,Volkswagen,Tiguan,132TSI R-Line Edition,Automatic,Petrol,Four Wheel Drive,Volkswagen Tiguan 132TSI R-Line Edition Automatic Petrol Four Wheel Drive,0
5945608372224000,Volkswagen,Tiguan,162TSI Highline,Automatic,Petrol,Four Wheel Drive,Volkswagen Tiguan 162TSI Highline Automatic Petrol Four Wheel Drive,0
5332080883924992,Volkswagen,Tiguan,162TSI Highline Allspace,Automatic,Petrol,Four Wheel Drive,Volkswagen Tiguan 162TSI Highline Allspace Automatic Petrol Four Wheel Drive,0
